en,zh-CN,zh-TW,ja
#Restart program to apply translation,,,
#This is comment line,,,
#Always keep language name at head of file,,,
#Language name is output in log,,,
"#You can find it by search ""Current language is:""",,,
#Please use UTF-8 with BOM encoding so we can edit it in Excel,,,
,,,
# Messages,,,
,,,
Shadowsocks Error: {0},Shadowsocks 错误: {0},Shadowsocks 錯誤: {0},Shadowsocks エラー: {0}
Port {0} already in use,端口 {0} 已被占用,連接埠號碼 {0} 已被使用,ポート番号 {0} は既に使用されています。
Port {0} is reserved by system,端口 {0} 是系统保留端口,連接埠號碼 {0} 由系統保留, ポート番号 {0} はシステムによって予約されています
Invalid server address,非法服务器地址,無效伺服器位址,サーバーアドレスが無効です。
Illegal port number format,非法端口格式,無效連接埠號碼格式,ポート番号のフォーマットが無効です。
Illegal timeout format,非法超时格式,無效逾時格式,タイムアウト値のフォーマットが無効です。
Server IP can not be blank,服务器 IP 不能为空,伺服器 IP 不能為空,サーバー IP が指定されていません。
Password can not be blank,密码不能为空,密碼不能為空,パスワードが指定されていません。
Port out of range,端口超出范围,連接埠號碼超出範圍,ポート番号は範囲外です。
Port can't be 8123,端口不能为 8123,連接埠號碼不能為 8123,8123 番以外のポート番号を指定して下さい。
Shadowsocks {0} Update Found,Shadowsocks {0} 更新,Shadowsocks {0} 更新,Shadowsocks バージョン {0} は利用できます。
No update is available,没有可用的更新,沒有可用的更新,お使いのバージョンは最新です。
Click here to update,点击这里升级,點按此處升級,クリックしてアップデートします。
Shadowsocks is here,Shadowsocks 在这里,Shadowsocks 在這裡,Shadowsocks はここです。
You can turn on/off Shadowsocks in the context menu,可以在右键菜单中开关 Shadowsocks,可以在右鍵選項單中開關 Shadowsocks,コンテキストメニューを使って、Shadowsocks を有効または無効にすることができます。
System Proxy Enabled,系统代理已启用,系統 Proxy 已啟用,システム プロキシが有効です。
System Proxy Disabled,系统代理未启用,系統 Proxy 未啟用,システム プロキシが無効です。
Failed to update PAC file ,更新 PAC 文件失败,更新 PAC 檔案失敗,PAC の更新に失敗しました。
PAC updated,更新 PAC 成功,更新 PAC 成功,PAC を更新しました。
